MINISTERIO DE DEFENSA NACIONAL;;;;;;;
POLICÍA NACIONAL;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
DIRECCIÓN DE INVESTIGACIÓN CRIMINAL E INTERPOL;;;;;;;
GRUPO DE INFORMACIÓN DE CRIMINALIDAD;;;;;;;
HURTO A PERSONAS ;;;;;;;
PERÍODO DEL 01 DE ENERO AL 28 DE FEBRERO DE AÑO 2022;;;;;;;
ARMAS MEDIO;DEPARTAMENTO ;MUNICIPIO;FECHA  HECHO ;GENERO;*AGRUPA EDAD PERSONA;CODIGO_DANE;CANTIDAD 
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;14/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;17/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;17/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;19/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;19/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;20/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;22/02/2022;MASCULINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;26/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;BELLO;27/02/2022;FEMENINO;ADULTOS;05088000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;01/01/2022;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;03/01/2022;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CALDAS;13/02/2022;MASCULINO;ADULTOS;05129000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;14/01/2022;FEMENINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAREPA;21/01/2022;MASCULINO;ADULTOS;05147000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;08/01/2022;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;09/01/2022;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;28/01/2022;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;30/01/2022;FEMENINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CAUCASIA;27/02/2022;MASCULINO;ADULTOS;05154000;1
ARMA BLANCA / CORTOPUNZANTE;ANTIOQUIA;CHIGORODÓ;30/01/2022;FEMENINO;ADULTOS;05172000;1
